step,epoch,elapsed_s,R_hat,lr
50,1,18.162,165.33650499,0.001
100,1,35.894,147.00190992,0.001
150,1,53.610,99.75955727,0.001
200,1,71.096,144.58163611,0.001
250,2,88.628,120.92154255,0.001
300,2,106.069,136.21376998,0.001
350,2,123.674,115.97587588,0.001
400,2,141.310,104.13279945,0.001
450,3,158.822,84.21975238,0.001
500,3,176.391,102.01298668,0.001
550,3,193.981,93.09628026,0.001
600,3,211.705,95.84440004,0.001
650,4,229.203,94.72669863,0.001
700,4,246.840,73.95354933,0.001
750,4,264.462,75.78451755,0.001
800,4,282.078,110.02501194,0.001
